,from,to
503,40,3065
502,40,7040
501,40,5415
500,40,1335
497,40,3743
505,40,5436
496,40,4831
495,40,2439
494,40,1218
498,40,2642
506,40,4311
512,41,4998
513,41,4846
510,41,237
511,41,2043
509,41,3653
508,41,1095
507,41,1855
514,42,6664
515,42,2378
516,42,168
517,42,1134
518,42,570
519,42,4685
523,43,4416
522,43,2584
521,43,1660
520,43,5396
524,44,5445
525,44,1749
526,45,4333
527,45,743
528,45,5113
529,45,4051
533,46,3818
532,46,2547
531,46,1763
530,46,3226
534,47,3267
535,47,3615
536,47,5123
537,47,214
538,47,4707
539,47,1193
540,47,4842
544,48,1547
543,48,4185
542,48,6275
541,48,2081
545,49,4178
546,49,401
547,49,3724
548,49,2511
549,49,945
550,50,303
558,51,2053
557,51,5445
559,51,2584
556,51,3877
555,51,3226
554,51,5396
553,51,584
552,51,2645
551,51,4027
560,52,1151
561,53,4658
562,53,542
563,53,1260
564,53,1331
565,53,6216
566,54,2143
567,54,3376
568,55,395
569,55,5151
574,56,5291
573,56,3416
575,56,6563
571,56,3422
570,56,4297
572,56,5060
584,57,789
582,57,4857
581,57,5320
580,57,2319
583,57,1921
578,57,4422
577,57,4484
576,57,4418
579,57,3058
585,58,3226
586,58,2584
587,58,4036
596,59,4030
601,59,5394
600,59,6284
599,59,2225
598,59,4324
597,59,4863
595,59,3683
591,59,2246
593,59,2606
592,59,3850
590,59,3271
589,59,4688
588,59,5379
594,59,4722
613,60,2681
612,60,3761
610,60,1889
609,60,5267
608,60,4240
611,60,1841
606,60,199
605,60,1462
604,60,1763
603,60,4998
602,60,248
607,60,6918
624,61,4358
623,61,2397
622,61,875
621,61,320
620,61,6064
617,61,2901
618,61,1749
616,61,1381
615,61,3178
614,61,584
625,61,4754
619,61,2697
628,62,1116
626,62,6656
627,62,5085
629,63,1662
630,63,510
631,63,6546
632,63,5236
633,64,2113
634,64,1657
635,64,4550
636,64,1452
637,64,4645
639,65,4084
638,65,4138
640,65,4416
641,65,426
643,66,443
642,66,5095
644,67,2637
645,67,4998
646,67,4416
647,67,875
661,68,2037
664,68,6731
663,68,4321
665,68,3233
662,68,4445
667,68,3460
668,68,5392
669,68,1818
660,68,3252
666,68,2926
659,68,3162
658,68,2345
657,68,580
656,68,3393
655,68,2463
654,68,5432
653,68,4495
652,68,1461
651,68,2686
650,68,791
649,68,1983
648,68,2007
670,69,1095
671,69,3226
672,70,6469
673,70,4797
678,71,714
677,71,943
674,71,1058
675,71,3277
676,71,3716
679,72,404
680,72,4486
681,72,5039
682,73,3771
683,74,5407
684,74,1393
704,75,5890
701,75,2462
702,75,4329
703,75,4365
705,75,4129
700,75,2297
707,75,3938
708,75,6305
709,75,3410
710,75,637
711,75,1005
706,75,4690
699,75,3249
691,75,3901
697,75,4789
686,75,2227
687,75,3624
688,75,5402
689,75,4409
690,75,1408
685,75,2251
692,75,2711
693,75,2982
694,75,858
695,75,5040
696,75,4580
698,75,3090
715,76,5172
714,76,1096
712,76,4311
713,76,4310
726,77,2070
732,77,2822
731,77,4356
730,77,5392
729,77,5176
728,77,3460
727,77,3590
725,77,1386
716,77,1986
723,77,634
722,77,4815
721,77,2372
720,77,1818
719,77,991
718,77,6352
717,77,2637
733,77,1499
724,77,4701
735,78,2625
734,78,598
736,79,2637
737,79,2934
738,79,3121
739,79,3071
740,79,4825
743,80,1928
744,80,3849
741,80,3305
742,80,1312
745,81,3568
756,82,4947
762,82,2277
761,82,1524
760,82,6548
759,82,2890
758,82,4488
757,82,2132
755,82,1034
753,82,2965
752,82,5034
751,82,5194
750,82,6597
749,82,296
748,82,1652
747,82,5345
746,82,6367
754,82,5118
773,83,1268
779,83,3856
778,83,3810
777,83,5346
776,83,5210
775,83,3120
774,83,356
772,83,2699
763,83,2869
770,83,2841
769,83,1118
768,83,4238
767,83,3985
766,83,3799
765,83,3206
764,83,3864
771,83,1890
780,84,4692
781,84,1464
787,85,3126
786,85,5399
785,85,884
783,85,2732
782,85,4027
784,85,4981
788,86,2411
789,86,3818
797,87,2842
800,87,3750
801,87,4143
798,87,399
796,87,1311
799,87,4760
794,87,417
793,87,5223
792,87,4752
791,87,880
790,87,4427
795,87,314
809,88,2719
808,88,2197
807,88,6108
806,88,5158
804,88,5242
803,88,5182
802,88,1304
805,88,2028
810,89,1749
815,90,4740
816,90,3646
814,90,5349
811,90,3984
812,90,1889
813,90,4998
817,91,4301
818,91,3877
819,91,4998
820,91,3653
821,91,647
822,92,1763
823,92,4204
830,93,3781
832,93,738
831,93,4238
829,93,823
833,93,4002
827,93,714
824,93,4185
828,93,576
826,93,5349
825,93,4457
834,94,830
933,95,4770
934,95,4686
935,95,4784
936,95,4304
937,95,1050
938,95,2053
939,95,2898
941,95,4416
932,95,1441
943,95,3891
944,95,6662
945,95,4897
946,95,1452
947,95,3894
948,95,4545
940,95,4543
942,95,1135
930,95,4603
949,95,4236
914,95,1157
915,95,532
916,95,3884
917,95,3238
918,95,793
919,95,2401
920,95,4988
931,95,6437
921,95,3886
923,95,137
924,95,4820
925,95,3027
926,95,2580
927,95,1121
928,95,3717
929,95,2165
922,95,5265
950,95,1763
953,95,1964
952,95,2143
974,95,4441
975,95,3476
976,95,1474
977,95,3765
978,95,6400
979,95,1516
980,95,5685
981,95,3296
982,95,4912
983,95,3700
984,95,3834
985,95,3638
986,95,2399
987,95,3750
988,95,101
973,95,4406
972,95,4169
971,95,6393
969,95,6952
913,95,2780
954,95,522
955,95,3646
956,95,4240
957,95,3883
958,95,2070
959,95,96
951,95,4161
960,95,1943
962,95,4954
963,95,5148
964,95,5343
965,95,3485
966,95,2395
967,95,4959
968,95,3015
961,95,2391
912,95,5310
970,95,4247
910,95,1720
854,95,3226
855,95,4928
856,95,3677
857,95,4338
858,95,4102
859,95,249
860,95,3425
861,95,4418
862,95,973
863,95,3155
864,95,975
865,95,2371
866,95,3953
868,95,4111
869,95,582
853,95,4269
852,95,3552
851,95,2637
850,95,2319
911,95,388
835,95,4009
836,95,4607
837,95,3661
838,95,1489
839,95,4491
840,95,2724
870,95,6915
841,95,1492
843,95,1899
844,95,1617
845,95,5974
846,95,6032
847,95,1387
848,95,3592
849,95,3132
842,95,1277
871,95,2007
867,95,4032
873,95,4199
894,95,4951
895,95,2673
872,95,979
897,95,2861
898,95,3214
899,95,239
900,95,4812
893,95,481
901,95,3617
903,95,3400
904,95,3258
905,95,7046
906,95,3702
907,95,1634
908,95,1986
909,95,598
902,95,4442
892,95,996
896,95,1749
890,95,147
874,95,1405
875,95,439
876,95,468
891,95,775
877,95,2962
878,95,5524
879,95,4730
881,95,5426
880,95,1517
883,95,7007
884,95,3867
885,95,3501
886,95,2452
887,95,478
888,95,4950
889,95,2628
882,95,246
1004,96,4002
1002,96,3628
1003,96,5670
1005,96,3271
1001,96,2378
1007,96,916
1008,96,4793
1009,96,3857
1010,96,2810
1006,96,1749
1000,96,1779
1011,96,2364
998,96,349
989,96,3706
990,96,4998
991,96,1216
992,96,791
999,96,3132
994,96,4992
995,96,3516
996,96,3803
997,96,5148
993,96,5069
1012,97,763
1013,97,4928
1014,97,1363
1015,97,2371
1016,97,4416
1023,98,4457
1022,98,3771
1021,98,3062
1017,98,5128
1019,98,2763
1018,98,337
1020,98,1957
1027,99,4325
1024,99,3791
1025,99,453
1026,99,1830
1029,100,4255
1028,100,1079
1030,101,3628
1038,101,5069
1037,101,1749
1036,101,5148
1035,101,2262
1031,101,3373
1033,101,2354
1032,101,3132
1034,101,1216
1053,102,2745
1052,102,1816
1051,102,3996
1050,102,4921
1049,102,5092
1048,102,5024
1047,102,1889
1046,102,2689
1044,102,4661
1042,102,199
1041,102,5416
1040,102,1577
1039,102,584
1045,102,3505
1043,102,5255
1055,103,5398
1054,103,2749
1058,104,4401
1056,104,3612
1057,104,3452
1059,105,4893
1060,105,3270
1061,105,237
1062,105,2278
1063,105,5476
1064,105,2067
1068,106,5069
1065,106,3600
1066,106,781
1067,106,3394
1069,106,1749
1076,107,4655
1075,107,3708
1074,107,4488
1070,107,1258
1072,107,2408
1071,107,1161
1077,107,4321
1073,107,2406
1080,108,6961
1081,108,1495
1078,108,343
1079,108,3875
1082,109,4199
1083,110,1472
1084,111,6855
1085,112,4497
1086,112,5228
1099,113,6223
1098,113,5415
1097,113,1198
1096,113,4597
1095,113,4692
1093,113,3948
1094,113,153
1091,113,3646
1090,113,3512
1089,113,3746
1088,113,4672
1087,113,1452
1092,113,2605
1118,114,5381
1115,114,4271
1116,114,6991
1117,114,4254
1119,114,2202
1114,114,5439
1121,114,2431
1122,114,409
1123,114,5127
1124,114,4234
1120,114,4366
1113,114,451
1105,114,4434
1111,114,1861
1100,114,3729
1101,114,262
1103,114,4842
1104,114,2013
1112,114,168
1102,114,4417
1107,114,530
1108,114,4079
1109,114,2636
1110,114,2478
1106,114,340
1125,115,3126
1126,115,751
1127,115,1121
1128,115,2584
1129,115,6758
1130,116,3531
1132,117,3413
1131,117,4473
1133,118,7105
1134,119,4016
1135,120,5144
1136,120,3615
1137,120,2686
1138,120,1749
1139,120,4791
1153,121,2857
1155,121,2457
1156,121,999
1157,121,2771
1160,121,4120
1159,121,4827
1152,121,5053
1161,121,563
1158,121,1262
1151,121,4683
1154,121,2258
1149,121,707
1150,121,2912
1140,121,4722
1142,121,3216
1143,121,3711
1144,121,1086
1141,121,791
1146,121,3314
1147,121,4752
1148,121,2340
1145,121,6258
1180,122,3484
1172,122,4794
1179,122,432
1178,122,2192
1177,122,539
1176,122,4528
1175,122,6618
1174,122,874
1171,122,6886
1173,122,216
1169,122,4616
1168,122,4364
1167,122,1585
1166,122,3957
1165,122,4475
1164,122,5177
1163,122,2219
1162,122,6741
1170,122,3648
1186,123,1092
1185,123,4188
1184,123,1050
1183,123,6852
1181,123,898
1182,123,3473
1187,124,1698
1188,124,1607
1198,125,3557
1204,125,3761
1203,125,411
1202,125,3857
1201,125,4651
1199,125,4691
1197,125,497
1200,125,5069
1195,125,1749
1194,125,535
1193,125,1803
1192,125,1357
1191,125,5006
1190,125,1216
1189,125,5148
1196,125,1304
1205,126,3599
1206,126,4717
1207,126,5642
1211,127,4207
1210,127,6649
1208,127,4578
1209,127,3357
1228,128,5144
1227,128,7105
1226,128,3897
1225,128,4403
1224,128,4439
1223,128,1298
1222,128,320
1221,128,5346
1218,128,2736
1219,128,5363
1217,128,3572
1216,128,2836
1215,128,608
1214,128,584
1213,128,1490
1212,128,2378
1220,128,2637
1234,129,4312
1233,129,4708
1232,129,1354
1230,129,2645
1229,129,4027
1231,129,1006
1235,130,1935
1236,130,792
1245,131,1956
1244,131,6468
1243,131,3473
1241,131,3765
1242,131,5115
1239,131,3093
1238,131,1133
1237,131,1510
1240,131,2700
1246,132,3781
1247,132,4352
1248,132,584
1249,132,2511
1262,133,2511
1263,133,5349
1265,133,5429
1268,133,4416
1267,133,2375
1261,133,1889
1269,133,2270
1266,133,4167
1260,133,4186
1264,133,4740
1258,133,4066
1259,133,2730
1251,133,2683
1252,133,2882
1253,133,4199
1250,133,2637
1255,133,6429
1256,133,468
1257,133,495
1254,133,3226
1297,134,145
1291,134,3090
1292,134,4334
1293,134,4722
1294,134,4843
1295,134,1642
1296,134,2199
1298,134,5384
1303,134,6968
1300,134,5242
1301,134,2548
1302,134,431
1304,134,4510
1305,134,4193
1306,134,1318
1290,134,450
1299,134,1660
1289,134,4675
1283,134,5438
1287,134,3977
1270,134,6753
1271,134,3123
1272,134,3368
1273,134,5278
1274,134,4052
1275,134,4857
1276,134,858
1277,134,3669
1288,134,3775
1279,134,5083
1280,134,1196
1281,134,986
1282,134,4877
1278,134,738
1284,134,5146
1285,134,5206
1286,134,1622
1316,135,353
1314,135,1570
1313,135,2020
1312,135,3045
1315,135,2060
1310,135,1386
1309,135,2822
1308,135,5030
1307,135,5405
1311,135,3633
1323,136,1646
1322,136,399
1320,136,4387
1321,136,991
1318,136,4641
1317,136,4195
1319,136,2842
1324,137,3628
1325,137,4788
1326,137,1749
1327,138,4373
1328,138,4104
1333,139,2630
1335,139,2584
1332,139,1076
1334,139,3578
1330,139,1280
1331,139,196
1329,139,4027
1336,140,4692
1337,140,5248
1338,140,1855
1339,140,3958
1340,140,6844
1341,140,1421
1342,140,3368
1343,141,3267
1344,141,985
1347,142,3770
1346,142,4998
1345,142,187
1367,143,652
1366,143,2397
1365,143,3323
1364,143,3877
1363,143,1449
1362,143,1427
1361,143,2699
1360,143,2128
1359,143,322
1358,143,4139
1353,143,4618
1356,143,3513
1355,143,4925
1354,143,3226
1352,143,6947
1350,143,4051
1349,143,3461
1348,143,744
1357,143,3840
1351,143,3956
1374,144,2319
1372,144,791
1373,144,4207
1371,144,2699
1369,144,6731
1368,144,1966
1370,144,4950
1396,145,5394
1395,145,1104
1394,145,3819
1393,145,4680
1392,145,3818
1391,145,6395
1389,145,2207
1388,145,3226
1387,145,1095
1386,145,4591
1390,145,2512
1384,145,2175
1383,145,2164
1382,145,5391
1381,145,1701
1380,145,3673
1379,145,2546
1378,145,3924
1377,145,5119
1376,145,3619
1375,145,1895
1385,145,4755
1404,146,2930
1403,146,6871
1402,146,4998
1401,146,1764
1397,146,3862
1399,146,2195
1398,146,1951
1400,146,1841
1410,147,3199
1412,147,4018
1411,147,2747
1409,147,6021
1413,147,6897
1407,147,1942
1406,147,3212
1405,147,3722
1408,147,1963
1414,148,2433
1415,148,3118
1416,148,3132
1417,148,3473
1418,148,1749
1419,148,2047
1433,149,4416
1431,149,4266
1430,149,4649
1429,149,1465
1428,149,4348
1427,149,4784
1432,149,3180
1425,149,2730
1424,149,420
1423,149,3488
1422,149,640
1421,149,5011
1420,149,3368
1426,149,5165
1457,150,3932
1458,150,779
1459,150,3185
1461,150,4346
1462,150,5204
1463,150,487
1464,150,314
1465,150,5022
1466,150,2839
1470,150,943
1468,150,3771
1469,150,2371
1471,150,5004
1472,150,4698
1473,150,5100
1474,150,4736
1475,150,5372
1476,150,4726
1456,150,3071
1467,150,4663
1455,150,2637
1460,150,3073
1453,150,4416
1434,150,2464
1435,150,2378
1436,150,5351
1437,150,1533
1438,150,791
1439,150,5213
1440,150,2100
1441,150,5292
1443,150,1678
1442,150,4532
1445,150,1452
1446,150,2684
1447,150,2836
1448,150,2359
1449,150,4227
1454,150,7023
1450,150,192
1451,150,511
1452,150,2745
1444,150,4143
1477,151,4137
1483,152,4025
1485,152,4409
1484,152,3730
1482,152,1856
1481,152,4171
1480,152,3226
1479,152,168
1478,152,5247
1511,153,4329
1512,153,3197
1513,153,4571
1514,153,6756
1515,153,2739
1516,153,5619
1517,153,1729
1518,153,4373
1519,153,5894
1520,153,1523
1521,153,3208
1522,153,2037
1523,153,2347
1524,153,2143
1525,153,942
1526,153,3565
1527,153,5227
1528,153,1975
1529,153,5002
1530,153,1894
1510,153,5064
1509,153,5119
1497,153,1704
1507,153,4632
1486,153,5382
1487,153,4620
1488,153,1380
1489,153,4152
1490,153,3588
1491,153,4138
1492,153,1830
1508,153,664
1494,153,498
1495,153,1116
1493,153,2282
1505,153,2564
1498,153,750
1499,153,4814
1500,153,2627
1501,153,3049
1502,153,1506
1503,153,6549
1504,153,4680
1496,153,1521
1506,153,4828
1536,154,4378
1535,154,2145
1534,154,3488
1537,154,3404
1532,154,4957
1531,154,4064
1533,154,5147
1540,155,1095
1541,155,2842
1538,155,1156
1539,155,4035
1560,156,6917
1559,156,1268
1558,156,2397
1557,156,3761
1556,156,5226
1555,156,4487
1554,156,501
1553,156,6245
1551,156,2699
1552,156,4564
1549,156,4416
1548,156,7112
1547,156,2873
1546,156,2564
1545,156,453
1544,156,5113
1543,156,5349
1542,156,584
1550,156,2371
1567,157,3578
1569,157,677
1568,157,4416
1566,157,2686
1563,157,2637
1564,157,4998
1562,157,2378
1561,157,590
1565,157,2584
1570,158,1749
1571,159,5263
1572,160,1393
1573,160,4650
1574,160,179
1575,160,4416
1578,161,4998
1576,161,204
1577,161,6370
1588,162,1889
1593,162,6300
1592,162,6688
1591,162,5336
1590,162,5391
1594,162,3761
1589,162,1841
1587,162,3850
1583,162,778
1585,162,4275
1584,162,5255
1582,162,5410
1581,162,2764
1580,162,584
1579,162,3862
1586,162,2111
1611,163,5165
1610,163,4593
1609,163,1993
1608,163,5226
1606,163,2130
1605,163,1890
1604,163,3771
1603,163,4715
1607,163,1948
1601,163,1368
1600,163,2469
1599,163,4668
1598,163,871
1597,163,3864
1596,163,1214
1595,163,3862
1602,163,4128
1612,164,4946
1613,164,514
1618,165,4835
1617,165,6821
1615,165,3462
1614,165,1740
1616,165,4109
1619,166,5237
1620,166,2645
1621,166,2584
1629,167,5391
1632,167,2152
1633,167,5294
1630,167,3461
1628,167,6334
1631,167,3650
1626,167,3217
1625,167,210
1624,167,2526
1623,167,1006
1622,167,5119
1627,167,5313
1872,168,4091
1871,168,1968
1870,168,3201
1869,168,3557
1868,168,301
1867,168,1963
1866,168,913
1865,168,1144
1862,168,4234
1863,168,2377
1873,168,4551
1861,168,3191
1860,168,3552
1859,168,1139
1858,168,1138
1857,168,5570
1856,168,1134
1864,168,2799
1874,168,311
1877,168,5439
1876,168,1462
1894,168,2878
1893,168,336
1892,168,6540
1891,168,737
1890,168,6631
1889,168,698
1888,168,1584
1887,168,5165
1875,168,1574
1886,168,2411
1884,168,3918
1883,168,1566
1882,168,6996
1881,168,5141
1880,168,4557
1879,168,4254
1878,168,6991
1855,168,1955
1885,168,4561
1854,168,2370
1851,168,4230
1852,168,4826
1828,168,1927
1827,168,5428
1826,168,1674
1825,168,3160
1824,168,1091
1823,168,5654
1822,168,5098
1821,168,2757
1829,168,2769
1820,168,2756
1818,168,4801
1817,168,2752
1816,168,1515
1815,168,68
1814,168,6913
1813,168,3034
1812,168,3859
1811,168,1170
1819,168,767
1830,168,6024
1831,168,6463
1832,168,6938
1895,168,340
1850,168,2792
1849,168,2636
1848,168,4140
1847,168,1125
1846,168,2789
1845,168,4211
1844,168,2788
1843,168,5541
1842,168,4854
1841,168,6383
1840,168,3534
1839,168,2781
1838,168,3940
1837,168,262
1836,168,689
1835,168,1532
1834,168,1934
1833,168,5063
1853,168,1954
1896,168,3590
1899,168,3473
1898,168,1183
1960,168,3988
1959,168,1524
1958,168,5191
1957,168,2895
1956,168,3725
1955,168,7090
1954,168,409
1982,168,2092
1961,168,2496
1953,168,1512
1951,168,4954
1950,168,1675
1949,168,1337
1948,168,2882
1947,168,5059
1946,168,4885
1945,168,4534
1944,168,1222
1952,168,3634
1943,168,1192
1962,168,6889
1964,168,1672
1810,168,2325
1981,168,429
1980,168,4060
1979,168,3811
1978,168,7118
1977,168,2514
1976,168,4005
1975,168,4321
1963,168,819
1974,168,2921
1972,168,1688
1971,168,4003
1970,168,2916
1969,168,1254
1968,168,5031
1967,168,2874
1966,168,3930
1965,168,2072
1973,168,990
1897,168,1599
1942,168,4298
1940,168,4612
1917,168,3244
1916,168,1211
1915,168,3950
1914,168,2014
1913,168,2013
1912,168,5625
1911,168,5317
1910,168,4585
1918,168,374
1909,168,4579
1907,168,7036
1906,168,2434
1905,168,4530
1904,168,2432
1903,168,2431
1902,168,303
1901,168,4577
1900,168,2826
1908,168,1204
1941,168,7108
1919,168,5101
1921,168,2456
1939,168,3971
1938,168,3620
1937,168,1752
1936,168,5180
1935,168,5310
1934,168,4417
1933,168,4604
1932,168,5650
1920,168,2473
1931,168,543
1929,168,536
1928,168,786
1927,168,697
1926,168,5183
1925,168,3616
1924,168,5381
1923,168,4875
1922,168,380
1930,168,1913
1809,168,3504
1662,168,3093
1807,168,5586
1695,168,3013
1694,168,5087
1693,168,933
1692,168,6766
1691,168,4082
1690,168,3965
1689,168,2605
1688,168,605
1696,168,4086
1687,168,4077
1685,168,3366
1684,168,5387
1683,168,4388
1682,168,4357
1681,168,3000
1680,168,3568
1679,168,5384
1678,168,510
1686,168,5388
1677,168,4143
1697,168,5376
1699,168,3746
1718,168,3052
1717,168,4521
1716,168,3321
1715,168,6786
1714,168,2221
1713,168,5248
1712,168,4385
1711,168,2216
1698,168,5406
1710,168,3039
1708,168,3035
1707,168,2630
1706,168,2208
1705,168,3751
1704,168,5002
1703,168,3385
1701,168,2202
1700,168,4401
1709,168,5105
1719,168,562
1676,168,3495
1674,168,2586
1650,168,2547
1649,168,4725
1648,168,3681
1647,168,3558
1646,168,2112
1645,168,1292
1644,168,5243
1643,168,5127
1651,168,2706
1642,168,451
1640,168,2725
1639,168,6757
1638,168,3306
1637,168,4923
1636,168,4013
1635,168,5278
1634,168,4640
1808,168,5016
1641,168,3315
1675,168,2587
1652,168,4655
1654,168,1041
1673,168,2160
1672,168,1561
1671,168,3348
1670,168,4965
1669,168,4666
1668,168,4957
1667,168,4368
1666,168,4366
1653,168,2126
1665,168,486
1663,168,4216
1661,168,5339
1660,168,4203
1659,168,5377
1658,168,6689
1657,168,4041
1656,168,1137
1655,168,4944
1664,168,4046
1720,168,1711
1702,168,5845
1722,168,4111
1784,168,2032
1783,168,2435
1721,168,4285
1781,168,1676
1780,168,3829
1779,168,920
